ID_Cliente,Nome_Completo,Data_Nascimento,Idade,Genero,Estado_Civil,Nacionalidade,Nivel_Educacional,Profissao,Renda_Mensal,Numero_Dependentes,Residencia_Propria,Tempo_Residencia_Anos,CEP,Score_Credito,ID_Conta,Tipo_Conta,Data_Abertura_Conta,Tempo_Relacionamento_Anos,Saldo_Atual,Limite_Cheque_Especial,Numero_Transacoes_Mes_Media,Valor_Transacao_Media,Tipo_Transacao_Mais_Comum,Frequencia_Transacoes_Online,Tem_Emprestimo_Ativo,Tipo_Emprestimo,Valor_Emprestimo,Taxa_Juros_Emprestimo,Prazo_Emprestimo_Meses,Status_Emprestimo,Canais_Utilizados,Numero_Reclamacoes_Ultimo_Ano,Satisfacao_Cliente,Saldo_Anterior_3M,Variacao_Saldo_Percentual_3M,Limite_Cartao_Credito,Utilizacao_Credito_Percentual,Numero_Emprestimos_Anteriores,Valor_Total_Emprestimos_Anteriores,Taxa_Media_Emprestimos_Anteriores,Perfil_Investidor,Segmento_Banco,Possui_Cartao_Credito,Possui_Seguro_Vida,Possui_Previdencia,Possui_Investimentos,Percentual_Pagamento_Fatura,Atraso_Medio_Pagamentos_Dias,Percentual_Comprometimento_Renda,Risco_Inadimplencia
26751,Rael Pinto,1984-02-26,40,Feminino,Casado,Brasileira,Ensino Médio,Gerente,4265.9,0.0,Sim,13.8,61645-139,647,26751,Corrente,2011-03-03,13.984941820670773,5657.87,5149.1,34,800.81,Compra Débito,Média,Sim,Veículo,24521.31,1.07,36.0,Em Atraso,Agência Física,0.0,Insatisfeito,6804.71,-16.85,7868.44,66.37,2,63371.29,3.28,Conservador,Média Renda,Sim,Sim,Sim,Não,69.36,1.9,100.0,100.0
26752,Mariah da Rosa,1980-02-26,44,Feminino,Casado,Brasileira,Ensino Fundamental,Médico,4008.99,2.0,Sim,17.5,94145-895,816,26752,Salário,2016-12-11,8.208076659822039,12002.69,0.0,16,527.82,Pagamento de Boleto,Alta,Sim,Pessoal,38307.27,3.26,36.0,Em Dia,Internet Banking,0.0,Neutro,12091.98,-0.74,12409.93,16.5,2,26568.48,1.16,Conservador,Média Renda,Sim,Não,Não,Não,77.76,0.2,82.73,60.4
26753,Melina Abreu,1987-02-26,37,Outro,Casado,Brasileira,Ensino Médio,Engenheiro,3543.52,2.0,Não,2.0,43694-434,658,26753,Corrente,2023-07-07,1.6399726214921286,7507.67,4163.76,24,613.52,Compra Débito,Alta,Não,,,,,,Agência Física,0.0,Neutro,10310.43,-27.18,6179.79,34.16,0,0.0,,Moderado,Varejo,Sim,Sim,Sim,Não,51.12,0.8,40.89,57.0
26754,Luana Sales,1991-02-26,33,Masculino,Casado,Brasileira,Ensino Médio,Analista,4348.84,3.0,Não,,44182-832,646,26754,Corrente,2019-12-04,5.229295003422314,-53.58,6134.28,26,270.65,Compra Crédito,,Não,,,,,,Agência Física,4.0,,-45.15,18.67,5894.26,81.94,1,46893.52,2.98,Conservador,Média Renda,Sim,Sim,Sim,Não,76.4,0.0,100.0,85.4
26755,Maria Luísa Ribeiro,1974-02-26,50,Feminino,Casado,Brasileira,Ensino Fundamental,Aposentado,2242.27,2.0,Não,4.9,73017-832,697,26755,Salário,2001-08-24,23.50718685831622,3951.42,0.0,10,,Depósito,Média,Não,,,,,,Internet Banking,0.0,Insatisfeito,3939.24,0.31,4710.68,12.35,5,53880.51,1.52,Conservador,Varejo,Sim,Não,Não,Não,63.66,0.3,32.38,47.4
26756,Bryan Guerra,1986-02-26,38,Masculino,Casado,Brasileira,Ensino Médio,Estudante,5821.01,0.0,Não,1.0,81414-672,768,26756,Salário,2014-04-28,10.830937713894592,23125.43,0.0,19,998.41,Compra Crédito,Alta,Não,,,,,,Mobile Banking,0.0,Neutro,24952.44,-7.32,7533.65,49.41,1,49841.41,2.43,Moderado,Média Renda,Sim,Sim,Não,Não,95.33,0.0,79.88,63.1
26757,Dr. Bernardo Casa Grande,1976-02-26,48,Masculino,Casado,Brasileira,Superior Incompleto,Gerente,9009.03,3.0,Sim,1.8,47581-510,869,26757,Premium,2016-02-09,9.045859000684462,29326.72,21083.58,45,2151.83,Compra Débito,Alta,Sim,Pessoal,58894.01,3.11,24.0,Em Dia,Mobile Banking,0.0,Neutro,29091.63,0.81,56335.36,26.98,1,62361.35,0.91,Moderado,Private,Não,Não,Sim,Não,,,42.18,34.2
26758,Pedro Henrique Jesus,1968-02-26,56,Masculino,Casado,Brasileira,Ensino Médio,Vendedor,2991.27,1.0,Sim,34.8,19610-209,706,26758,Corrente,2024-04-19,0.8542094455852156,2760.25,2732.3,20,330.84,Compra Crédito,Média,Sim,Pessoal,8486.06,2.66,48.0,Em Dia,,0.0,Satisfeito,3009.2,-8.27,3729.57,57.73,4,27787.81,2.6,Moderado,Varejo,Sim,Não,Não,Sim,75.3,2.8,83.71,79.7
26759,Lucas Gabriel Jesus,1969-02-25,56,Feminino,Divorciado,Brasileira,,Empresário,13791.21,1.0,Não,3.2,77244-142,789,26759,Poupança,2008-04-04,16.895277207392198,75356.37,0.0,9,801.01,Saque,Média,Não,,,,,,Agência Física,0.0,Neutro,72649.65,3.73,35308.5,80.86,3,180746.96,1.84,Conservador,Alta Renda,Sim,Não,Sim,Não,81.88,0.0,100.0,71.1
26760,Manuella Azevedo,1986-02-26,38,Feminino,Casado,Brasileira,Superior Completo,Empresário,7094.43,0.0,Sim,6.6,,870,26760,Salário,2010-06-08,14.718685831622176,48907.55,0.0,26,537.87,Pagamento de Boleto,Média,Sim,Imobiliário,2774258.31,0.78,240.0,Em Dia,Mobile Banking,0.0,Satisfeito,50373.33,-2.91,9652.12,68.65,2,43328.76,1.17,Moderado,Média Renda,Sim,Não,Sim,Não,62.6,1.3,100.0,66.9
26761,Marcelo Azevedo,1979-02-26,45,Masculino,Divorciado,Brasileira,Pós-Graduação,Autônomo,18542.46,2.0,Sim,13.9,44409-811,828,26761,Premium,2014-08-14,10.535249828884325,219573.46,48149.79,62,17642.85,Pagamento de Boleto,Alta,Não,,,,,,Internet Banking,0.0,Satisfeito,207993.37,5.57,133882.33,28.88,1,168138.83,1.13,Arrojado,Private,Sim,Sim,Não,Sim,92.57,0.1,100.0,67.5
26762,Catarina Montenegro,1983-02-26,41,Feminino,Divorciado,,Ensino Médio,Comerciante,5753.32,0.0,Não,2.9,90456-264,718,26762,Poupança,2022-07-10,2.631074606433949,35506.21,0.0,5,838.23,Depósito,Alta,Não,,,,,,Internet Banking,0.0,Satisfeito,33878.0,4.81,13235.4,45.86,2,96086.66,1.54,Moderado,Média Renda,Sim,Não,Sim,Não,82.1,0.8,100.0,80.6
26763,Dra. Ana Cavalcanti,1961-02-25,64,Feminino,Solteiro,Brasileira,Superior Incompleto,Recepcionista,4585.88,0.0,Sim,7.3,39215-609,756,26763,Poupança,1982-04-23,42.84462696783025,154492.88,0.0,5,549.58,Transferência,Baixa,Não,,,,,,Internet Banking,0.0,,149318.2,3.47,6759.67,26.89,7,353118.56,1.82,Moderado,Alta Renda,Sim,Não,Não,Sim,87.54,1.1,55.38,55.4
26764,Bianca Viana,1961-02-25,64,Masculino,Viúvo,Brasileira,Pós-Graduação,Analista,17112.48,0.0,Não,0.8,,781,26764,Poupança,2017-02-13,8.032854209445585,124302.38,0.0,9,4419.9,Saque,Média,Não,,,,,,Internet Banking,0.0,Neutro,118170.03,5.19,27358.95,9.27,5,625327.15,1.81,Moderado,Private,Sim,Sim,Sim,Não,82.12,0.2,33.18,39.1
26765,Felipe Cassiano,1987-02-26,37,Masculino,Solteiro,Brasileira,Superior Incompleto,Analista,5340.11,0.0,Não,3.0,30196-696,724,26765,Digital,2016-04-28,8.829568788501026,13152.81,0.0,27,693.88,Compra Crédito,Alta,Não,,,,,,Agência Física,0.0,Satisfeito,13016.78,1.05,11430.52,36.48,2,164859.82,2.31,Arrojado,Média Renda,Sim,Não,Não,Não,52.46,1.1,70.19,66.0
26766,Lavínia Monteiro,1997-02-25,28,Masculino,Casado,Brasileira,Superior Incompleto,Recepcionista,3977.0,2.0,Não,1.7,75807-744,663,26766,Digital,2018-08-26,6.50239561943874,34768.05,0.0,24,347.57,Compra Débito,Alta,Não,,,,,,Internet Banking,0.0,Neutro,36840.12,-5.62,8498.15,24.34,3,47498.56,1.59,Arrojado,Média Renda,Sim,Não,Não,Não,83.19,0.8,74.14,73.2
26767,Matheus Pastor,1994-02-26,30,Feminino,Casado,Brasileira,Ensino Médio,Vendedor,3447.0,2.0,Não,1.4,56901-723,691,26767,Corrente,2020-12-20,4.183436002737851,11126.92,3681.15,26,561.47,Depósito,Alta,Não,,,,,,Internet Banking,0.0,Satisfeito,9692.47,14.8,4844.82,46.15,0,0.0,,Conservador,Varejo,Sim,Sim,Sim,Não,79.84,1.2,77.41,73.2
26768,Stephany Ferreira,1987-02-26,37,Feminino,Solteiro,Brasileira,Superior Incompleto,Enfermeiro,4245.53,0.0,Sim,13.8,87880-182,646,26768,Salário,2022-12-29,2.1601642710472277,37787.73,0.0,11,168.82,Pagamento de Boleto,Média,Não,,,,,,Agência Física,0.0,Neutro,39553.23,-4.46,10508.52,74.54,0,0.0,,Conservador,Média Renda,Sim,Sim,Não,Não,80.34,0.9,100.0,88.1
26769,Gustavo Henrique Lima,1979-02-26,45,Masculino,Casado,Argentina,Ensino Médio,Enfermeiro,4494.97,0.0,Sim,,86648-559,691,26769,Poupança,2018-07-16,6.614647501711157,24682.02,0.0,8,1333.76,Transferência,Alta,Não,,,,,,,3.0,Muito Insatisfeito,23707.64,4.11,6876.61,13.94,2,89991.49,2.15,Arrojado,Média Renda,Sim,Não,Não,Sim,60.82,0.6,26.97,46.2
26770,Ana Sophia Pereira,1974-02-26,50,Masculino,Casado,Brasileira,Ensino Médio,Aposentado,2006.8,0.0,Sim,,11200-196,712,26770,Corrente,2017-12-03,7.230663928815879,8242.36,2222.17,21,439.69,Transferência,Média,Não,,,,,,Mobile Banking,0.0,Satisfeito,11413.99,-27.79,4974.81,50.03,1,5814.33,1.75,Conservador,Varejo,Sim,Não,Sim,Sim,60.6,2.0,88.88,79.2
26771,Vitor Hugo Almeida,1988-02-26,36,Masculino,Casado,Brasileira,Pós-Graduação,Gerente,12829.09,2.0,Não,1.9,18864-103,784,26771,Salário,2015-07-13,9.623545516769337,24598.69,0.0,20,4327.82,Pagamento de Boleto,Alta,Sim,Imobiliário,4182609.38,0.72,300.0,Em Dia,Internet Banking,0.0,Satisfeito,24207.08,1.62,13534.94,78.83,0,0.0,,Moderado,Alta Renda,Sim,Sim,Não,Não,78.88,0.7,100.0,73.7
26772,Kamilly da Mata,1974-02-26,50,Feminino,Divorciado,Portuguesa,Superior Incompleto,Estudante,8253.04,2.0,Não,1.2,24383-529,771,26772,Corrente,2001-10-09,23.381245722108144,99017.6,12844.09,25,596.59,Pagamento de Boleto,Baixa,Não,,,,,,Mobile Banking,0.0,Insatisfeito,93942.73,5.4,25287.57,26.81,8,219585.67,2.33,Conservador,Alta Renda,Sim,Não,Sim,Sim,89.24,0.2,94.58,70.8
26773,Sra. Isabel Fernandes,1955-02-26,69,Masculino,Divorciado,Brasileira,Superior Incompleto,Aposentado,2363.86,1.0,Não,1.0,36413-213,699,26773,Poupança,1976-09-16,48.4435318275154,32280.48,0.0,6,1608.24,Saque,Média,Não,,,,,,Internet Banking,0.0,Satisfeito,31159.76,3.6,6467.9,63.82,10,133719.96,2.68,Moderado,Média Renda,Sim,Não,Sim,Não,95.24,1.8,100.0,85.5
26774,Ana Carolina Aparecida,1975-02-26,49,Feminino,Casado,Brasileira,Superior Incompleto,Autônomo,7133.53,2.0,Não,,56882-581,733,26774,Corrente,2016-10-19,8.353182751540041,16610.54,7320.44,30,541.61,Saque,Média,Não,,,,,,Agência Física,0.0,Neutro,13184.63,25.98,8737.49,20.82,3,269657.34,2.1,Moderado,Média Renda,Sim,Sim,Sim,Não,74.23,0.4,33.1,44.4
26775,Dra. Catarina Viana,1994-02-26,30,Masculino,Casado,Brasileira,Ensino Médio,Engenheiro,5359.66,0.0,Não,0.7,93520-796,748,26775,Poupança,2023-10-22,1.3470225872689938,78568.33,0.0,9,3153.66,Depósito,Alta,Sim,Pessoal,25830.68,2.17,48.0,Em Dia,Mobile Banking,0.0,Satisfeito,76456.6,2.76,13903.19,37.63,0,0.0,,Moderado,Alta Renda,Sim,Sim,Não,Não,58.74,3.4,94.77,82.8
26776,Cecilia Pimenta,1978-02-26,46,Feminino,Divorciado,Brasileira,Ensino Fundamental,Estudante,3434.64,1.0,Não,1.0,42883-878,668,26776,Corrente,2021-03-01,3.9890485968514717,15250.86,5164.76,21,538.0,Compra Débito,Média,Não,,,,,,Mobile Banking,0.0,Neutro,14245.25,7.06,8705.7,24.77,4,65986.73,1.51,Conservador,Varejo,Não,Sim,Não,Não,,,18.22,42.3
26777,Pietro Caldeira,1980-02-26,44,Masculino,Casado,Portuguesa,Superior Completo,Médico,9570.91,1.0,Sim,12.6,29412-733,797,26777,Corrente,2022-10-25,2.3381245722108144,46216.28,11695.95,42,,Compra Débito,Alta,Não,,,,,,Agência Física,0.0,,44360.75,4.18,25216.31,48.33,3,368296.08,2.63,Moderado,Alta Renda,Sim,Sim,Não,Sim,95.57,1.1,100.0,73.6
26778,Davi Caldeira,1961-02-25,64,Masculino,Viúvo,Brasileira,Ensino Fundamental,Comerciante,4805.74,1.0,Sim,10.0,92587-380,716,26778,Corrente,1993-10-16,31.362080766598222,27216.97,5263.22,30,726.04,Saque,Média,Não,,,,,,Telefone,0.0,Insatisfeito,25686.11,5.96,12419.65,23.79,9,86534.59,1.98,Moderado,Média Renda,Sim,Não,Sim,Não,41.61,2.5,44.76,58.3
26779,Cauê Cirino,1987-02-26,37,Masculino,Casado,Brasileira,Superior Completo,Vendedor,6808.95,3.0,Sim,3.6,89978-176,690,26779,Salário,2020-03-06,4.974674880219028,21968.91,0.0,16,743.93,Compra Crédito,Alta,Não,,,,,,Telefone,0.0,Satisfeito,21340.03,2.95,8804.66,16.76,0,0.0,,Conservador,Média Renda,Sim,Sim,Não,Sim,66.65,0.5,36.68,50.8
26780,Ana Cecília Ferreira,1984-02-26,40,Feminino,Solteiro,Brasileira,Superior Incompleto,Contador,6934.27,0.0,Não,4.0,61403-772,827,26780,Digital,2007-05-20,17.77138945927447,101821.25,0.0,32,432.25,Depósito,Alta,Não,,,,,,Mobile Banking,0.0,Neutro,100364.35,1.45,15898.94,45.82,8,468712.69,1.03,Arrojado,Alta Renda,Sim,Não,Não,Sim,87.91,0.7,92.3,65.6
26781,Sarah Siqueira,1977-02-25,48,Masculino,Divorciado,Alemã,Ensino Médio,Professor,4243.41,2.0,Sim,13.2,63439-527,738,26781,Corrente,2005-01-10,20.125941136208077,3014.28,6107.38,32,,Compra Crédito,Alta,Não,,,,,,Agência Física,0.0,Insatisfeito,2704.13,11.47,6518.52,6.66,4,110390.6,2.68,Moderado,Média Renda,Sim,Não,Não,Não,96.74,1.5,24.58,43.0
26782,Lavínia Azevedo,1980-02-26,44,Masculino,Solteiro,Brasileira,Superior Completo,Estudante,8852.93,1.0,Não,4.2,89994-404,833,26782,Corrente,2002-09-16,22.444900752908968,16066.76,7883.6,48,564.01,Compra Crédito,Baixa,Sim,Pessoal,75832.63,3.31,36.0,Em Dia,,0.0,Insatisfeito,15545.02,3.36,26196.68,9.39,9,607272.02,1.16,Moderado,Alta Renda,Sim,Não,Não,Sim,90.82,0.9,74.32,56.6
26783,Fernanda Gonçalves,1971-02-26,53,Masculino,Casado,Brasileira,Pós-Graduação,Recepcionista,22627.58,1.0,Não,5.7,90312-187,838,26783,Digital,1990-06-24,34.67488021902806,385653.07,0.0,48,1582.97,Transferência,Alta,Sim,Veículo,201044.07,1.6,72.0,Em Dia,Internet Banking,0.0,Satisfeito,394351.09,-2.21,41284.42,23.84,4,501682.99,1.02,Arrojado,Private,Sim,Não,Sim,Não,79.91,0.2,65.16,49.4
26784,Eloá Garcia,2001-02-25,24,Masculino,Solteiro,Brasileira,Superior Incompleto,Técnico,4638.66,1.0,Não,0.8,52348-113,657,26784,Poupança,2022-11-03,2.3134839151266258,22657.75,0.0,2,,Depósito,Alta,Sim,Veículo,45219.85,1.88,36.0,Em Dia,Mobile Banking,0.0,Satisfeito,22728.62,-0.31,10877.27,29.07,0,0.0,,Moderado,Média Renda,Não,Não,Não,Sim,,,42.66,55.6
26785,Giovanna Borges,1979-02-26,45,Feminino,Casado,Brasileira,Superior Completo,Médico,9679.47,0.0,Sim,14.0,51196-755,852,26785,Corrente,2015-12-24,9.174537987679672,59464.66,13649.54,53,526.18,Pagamento de Boleto,Média,Sim,Pessoal,65027.74,2.94,36.0,Em Dia,Mobile Banking,2.0,Insatisfeito,60746.67,-2.11,26309.71,17.78,1,31077.29,1.43,Moderado,Alta Renda,Sim,Não,Não,Não,80.14,0.1,78.64,54.4
26786,Kevin Pacheco,1996-02-26,28,Masculino,Casado,Brasileira,Ensino Médio,Vendedor,5030.29,2.0,Sim,8.6,64871-623,799,26786,Salário,2016-07-25,8.588637919233403,63785.25,0.0,11,667.29,Transferência,Baixa,Não,,,,,,Mobile Banking,0.0,Neutro,53479.47,19.27,12279.62,45.83,0,0.0,,Arrojado,Alta Renda,Sim,Sim,Não,Não,91.31,0.1,99.76,70.3
26787,Otávio Alves,1988-02-26,36,Outro,Casado,Brasileira,,Gerente,4885.32,2.0,Não,,66730-307,685,26787,Salário,2009-02-23,16.005475701574266,18728.01,0.0,24,480.61,Saque,Média,Não,,,,,,Agência Física,0.0,Satisfeito,20122.91,-6.93,4591.89,18.05,1,11410.35,1.59,Conservador,Média Renda,Sim,Não,Não,Não,58.45,2.4,35.55,56.5
26788,Sophie Azevedo,1974-02-26,50,Feminino,Casado,Brasileira,,Analista,6208.39,0.0,Sim,20.9,76571-846,865,26788,Corrente,2013-11-29,11.241615331964407,14592.94,6812.58,25,639.56,Pagamento de Boleto,Média,Sim,Pessoal,14013.79,3.01,36.0,Em Dia,Mobile Banking,0.0,Neutro,16815.98,-13.22,17403.42,17.41,2,121193.46,1.36,Moderado,Média Renda,Sim,Não,Não,Sim,78.3,1.7,65.82,51.5
26789,Dra. Eduarda Pinto,1994-02-26,30,Feminino,Casado,Brasileira,Superior Completo,Gerente,12797.58,4.0,Sim,2.6,28738-323,877,26789,Corrente,2019-01-11,6.12457221081451,22875.49,16248.61,27,1568.6,Pagamento de Boleto,Alta,Sim,Veículo,123434.13,1.42,60.0,Em Dia,Mobile Banking,0.0,Satisfeito,26909.35,-14.99,18908.98,23.72,0,0.0,,Arrojado,Alta Renda,Sim,Sim,Não,Sim,75.01,1.2,67.58,49.7
26790,Sr. Cauê Pastor,1989-02-25,36,Masculino,Casado,Brasileira,Superior Incompleto,Estudante,10440.44,1.0,Não,1.3,45428-944,745,26790,Corrente,2022-03-05,2.9787816563997263,20358.73,12901.8,50,,Pagamento de Boleto,Alta,Não,,,,,,Agência Física,0.0,Neutro,23698.88,-14.09,14335.82,52.22,0,0.0,,Moderado,Alta Renda,Sim,Não,Não,Não,86.12,0.4,89.59,71.5
26791,Isabela Nogueira,1972-02-26,52,Masculino,Casado,Brasileira,Pós-Graduação,Empresário,28102.13,2.0,Sim,,21450-511,918,26791,Corrente,2013-12-21,11.181382614647502,555497.14,21951.61,40,3363.0,Transferência,Baixa,Sim,Veículo,360421.02,1.3,48.0,Em Dia,Internet Banking,0.0,Muito Satisfeito,485996.47,14.3,63637.02,33.77,2,255693.52,1.11,Arrojado,Private,Sim,Não,Não,Sim,90.69,0.2,100.0,58.8
26792,Sr. Davi Luiz Cavalcante,1975-02-26,49,Masculino,Solteiro,Brasileira,Ensino Médio,Vendedor,3825.63,0.0,Sim,3.6,44748-176,717,26792,Digital,1996-08-01,28.569472963723477,10202.92,0.0,21,153.68,Compra Crédito,Alta,Não,,,,,,Agência Física,0.0,Neutro,10398.68,-1.88,5053.13,19.16,6,164571.16,2.13,Conservador,Varejo,Sim,Não,Não,Não,69.76,3.9,36.64,58.3
26793,Helena Campos,1997-02-25,28,Feminino,Casado,Brasileira,Superior Incompleto,Analista,7415.86,2.0,Não,2.6,35278-184,766,26793,Corrente,2015-04-14,9.869952087611225,17670.06,10521.33,39,1132.03,Compra Crédito,Alta,Não,,,,,,Mobile Banking,2.0,Muito Insatisfeito,16205.74,9.04,8535.61,37.54,1,28774.92,1.84,Moderado,Média Renda,Sim,Sim,Não,Sim,71.89,1.3,50.89,52.7
26794,Leonardo Cirino,1978-02-26,46,Feminino,Casado,Brasileira,Pós-Graduação,Vendedor,13913.68,1.0,Sim,,22221-369,843,26794,Digital,2000-11-22,24.26009582477755,189182.52,0.0,53,651.67,Transferência,Baixa,Não,,,,,,,0.0,Satisfeito,185677.05,1.89,53113.04,35.83,3,882589.97,1.39,Conservador,Alta Renda,Sim,Não,Não,Sim,88.9,0.9,100.0,68.4
26795,Bruno Barros,1995-02-26,29,Masculino,Divorciado,Brasileira,Pós-Graduação,Empresário,5716.23,1.0,Não,1.1,17150-205,770,26795,Poupança,2017-08-16,7.529089664613279,13772.74,0.0,6,2868.13,Depósito,Alta,Não,,,,,,Mobile Banking,0.0,Satisfeito,12802.98,7.57,16690.86,14.77,0,0.0,,Arrojado,Média Renda,Sim,Não,Não,Não,97.56,0.3,68.61,58.2
26796,Dr. Rodrigo Pacheco,1991-02-26,33,Feminino,Solteiro,Brasileira,Superior Completo,Analista,6908.36,0.0,Não,,68340-469,817,26796,Corrente,2013-02-24,12.002737850787133,8197.52,7215.99,32,1582.54,Transferência,Média,Sim,Pessoal,61230.76,3.78,48.0,Em Dia,Mobile Banking,0.0,Satisfeito,9299.48,-11.85,9360.57,18.41,2,139476.37,1.41,Moderado,Média Renda,Sim,Sim,Não,Sim,93.95,0.0,71.42,54.0
26797,Sra. Alexia da Cunha,1983-02-26,41,Feminino,Casado,Brasileira,Ensino Fundamental,Vendedor,4074.28,1.0,Não,2.4,69693-292,746,26797,Corrente,2020-10-28,4.328542094455853,5658.13,5350.54,33,502.56,Transferência,Alta,Sim,Pessoal,14868.03,3.68,48.0,Em Dia,,0.0,Neutro,4665.65,21.27,6327.99,44.04,2,102247.71,2.43,Conservador,Média Renda,Não,Não,Não,Não,,,32.83,41.8
26798,Yasmin Ribeiro,1996-02-26,28,Feminino,Casado,Brasileira,Ensino Médio,Professor,5929.88,0.0,Não,0.4,92426-933,756,26798,Salário,2019-07-09,5.634496919917864,17208.5,0.0,25,792.96,Compra Débito,Alta,Não,,,,,,Internet Banking,0.0,Satisfeito,16904.74,1.8,17651.53,56.64,0,0.0,,Moderado,Média Renda,Sim,Não,Não,Não,66.18,0.9,100.0,77.1
26799,Heloísa Barros,1945-02-25,80,Masculino,Casado,,Ensino Médio,Contador,,0.0,Não,15.8,51547-757,760,26799,Poupança,1998-10-14,26.368240930869266,131435.6,0.0,5,2215.41,Depósito,Alta,Sim,Consignado,24703.3,2.16,48.0,Em Dia,Agência Física,0.0,Satisfeito,128965.95,1.91,12751.38,35.11,11,302606.67,2.66,Moderado,Alta Renda,Sim,Não,Não,Sim,80.49,0.6,98.53,75.1
26800,Srta. Allana Garcia,1994-02-26,30,Masculino,Solteiro,Brasileira,Superior Incompleto,Médico,4542.39,0.0,Não,4.2,93226-280,695,26800,Corrente,2015-09-12,9.456536618754278,31466.58,6793.67,21,276.77,Transferência,Alta,Não,,,,,,Telefone,,Neutro,28301.08,11.19,5119.39,14.56,1,72456.28,2.14,Moderado,Média Renda,Sim,Não,Não,Não,70.96,1.6,25.7,48.1
26801,Ana Carolina Dias,1968-02-26,56,Masculino,Casado,Brasileira,Superior Incompleto,Enfermeiro,6874.58,3.0,Não,9.2,93243-751,753,26801,Digital,2014-05-04,10.8145106091718,62413.07,0.0,34,345.91,Compra Crédito,Alta,Não,,,,,,Agência Física,0.0,Neutro,61882.86,0.86,19165.03,26.46,4,201890.8,2.27,Moderado,Alta Renda,Sim,Não,Não,Não,87.89,0.6,94.57,73.8
26802,Luigi Vieira,1964-02-26,60,Masculino,Viúvo,,Ensino Médio,Motorista,4194.89,0.0,Não,3.4,39007-810,694,26802,Corrente,2019-12-31,5.155373032169747,12040.89,5843.35,22,507.43,Saque,,Não,,,,,,Agência Física,0.0,Neutro,11336.84,6.21,8729.05,53.88,5,118468.38,1.7,Conservador,Média Renda,Sim,Sim,Sim,Não,69.14,0.0,100.0,80.6
26803,Joaquim Sá,1945-02-25,80,Masculino,Viúvo,Brasileira,Ensino Médio,Aposentado,1975.78,0.0,Não,2.9,55687-865,735,26803,Poupança,2010-12-02,14.234086242299794,21920.77,0.0,4,641.84,Saque,Média,Não,,,,,,Agência Física,0.0,Insatisfeito,21384.35,2.51,2151.29,73.52,5,114238.77,2.41,Conservador,Média Renda,Não,Sim,Sim,Não,,,23.4,38.2
26804,Srta. Sophie da Mota,1984-02-26,40,Masculino,Viúvo,Brasileira,Ensino Médio,Vendedor,4401.96,,Sim,17.0,78046-103,722,26804,Digital,2010-08-08,14.55167693360712,5763.24,0.0,24,269.09,Pagamento de Boleto,Alta,Não,,,,,,Agência Física,0.0,Neutro,5621.61,2.52,9795.16,28.68,0,0.0,,Conservador,Média Renda,Sim,Sim,Não,Não,72.12,1.2,74.72,68.8
26805,Sr. Davi Lucca Peixoto,1961-02-25,64,Masculino,Casado,Brasileira,Superior Incompleto,Vendedor,7985.62,1.0,Sim,7.2,41543-467,790,26805,Salário,1986-02-23,39.006160164271044,45939.61,0.0,13,1123.43,Transferência,Média,Não,,,,,,,0.0,Satisfeito,44782.68,2.58,21517.43,12.77,10,1376064.97,2.72,Moderado,Média Renda,Sim,Sim,Não,Sim,91.33,0.4,59.35,51.9
26806,Giovanna Nascimento,1952-02-26,72,Feminino,Casado,Brasileira,Pós-Graduação,Aposentado,5952.27,0.0,Sim,12.9,16172-876,741,26806,Corrente,2013-02-13,12.032854209445585,-2718.53,8695.61,36,,Saque,,Não,,,,,,Mobile Banking,0.0,Neutro,-2866.18,-5.15,17854.5,50.36,8,466462.58,2.7,Moderado,Média Renda,Sim,Sim,Não,Sim,82.71,0.3,100.0,76.8
26807,Stephany Moraes,1993-02-25,32,Feminino,Casado,,Ensino Médio,Vendedor,4735.83,2.0,Sim,8.3,52699-383,704,26807,Poupança,2021-08-27,3.4989733059548254,42362.74,0.0,5,1784.38,Depósito,Média,Não,,,,,,Internet Banking,0.0,Insatisfeito,40742.21,3.98,14634.9,13.11,0,0.0,,Moderado,Média Renda,Sim,Não,Sim,Não,79.4,3.7,54.22,67.8
26808,Guilherme Barbosa,1982-02-26,42,Feminino,Casado,Brasileira,Ensino Médio,Engenheiro,5400.36,1.0,Não,1.2,94226-164,692,26808,Corrente,2020-04-16,4.862422997946612,18012.92,4789.72,24,1289.45,Transferência,Alta,Não,,,,,,Mobile Banking,0.0,Neutro,22247.04,-19.03,12393.4,22.98,1,42302.35,2.49,Arrojado,Média Renda,Sim,Não,Não,Sim,62.83,1.4,44.47,57.2
26809,Pedro Lucas da Rocha,1999-02-26,25,Masculino,Casado,Brasileira,Superior Completo,Vendedor,19802.37,2.0,Não,2.2,14246-275,786,26809,Corrente,2018-06-03,6.7323750855578375,85103.14,21285.73,67,1027.74,Pagamento de Boleto,Média,Não,,,,,,Mobile Banking,2.0,Insatisfeito,94313.34,-9.77,56353.45,87.53,0,0.0,,Moderado,Private,Não,Sim,Não,Não,,,22.31,32.6
26810,Anna Liz da Luz,1976-02-26,48,Masculino,Casado,Brasileira,,Motorista,7584.35,,Sim,10.0,18643-219,862,26810,Poupança,1996-05-25,28.75564681724846,414360.25,0.0,3,,Depósito,Média,Sim,Veículo,59290.9,1.28,48.0,Em Dia,,0.0,Neutro,393107.08,5.41,21661.91,38.08,4,154346.86,1.16,Moderado,Alta Renda,Sim,Sim,Não,Sim,65.71,1.6,100.0,68.6
