Nome_Completo,Data_Nascimento,Idade,Genero,Estado_Civil,Nacionalidade,Nivel_Educacional,Profissao,Renda_Mensal,Numero_Dependentes,Residencia_Propria,Tempo_Residencia_Anos,CEP,Score_Credito,Tipo_Conta,Data_Abertura_Conta,Tempo_Relacionamento_Anos,Saldo_Atual,Limite_Cheque_Especial,Numero_Transacoes_Mes_Media,Valor_Transacao_Media,Tipo_Transacao_Mais_Comum,Frequencia_Transacoes_Online,Tem_Emprestimo_Ativo,Tipo_Emprestimo,Valor_Emprestimo,Taxa_Juros_Emprestimo,Prazo_Emprestimo_Meses,Status_Emprestimo,Canais_Utilizados,Numero_Reclamacoes_Ultimo_Ano,Satisfacao_Cliente,Saldo_Anterior_3M,Variacao_Saldo_Percentual_3M,Limite_Cartao_Credito,Utilizacao_Credito_Percentual,Numero_Emprestimos_Anteriores,Valor_Total_Emprestimos_Anteriores,Taxa_Media_Emprestimos_Anteriores,Perfil_Investidor,Segmento_Banco,Possui_Cartao_Credito,Possui_Seguro_Vida,Possui_Previdencia,Possui_Investimentos,Percentual_Pagamento_Fatura,Atraso_Medio_Pagamentos_Dias,Percentual_Comprometimento_Renda,Risco_Inadimplencia
Emanuella Rezende,1973-02-25,52,Masculino,Casado,Brasileira,Ensino Médio,Engenheiro,5992.94,3.0,Não,6.4,50272-303,820,Digital,1993-05-28,31.74811772758385,25058.77,0.0,21,509.39,Compra Débito,Alta,Sim,Pessoal,19573.85,2.76,12.0,Em Dia,Agência Física,0.0,Neutro,24855.7,0.82,16955.19,51.76,7,402427.41,1.13,Conservador,Média Renda,Sim,Não,Não,Não,76.53,0.2,100.0,1
Luiz Gustavo Cavalcante,1973-02-25,52,Feminino,Solteiro,Brasileira,Pós-Graduação,Gerente,6184.04,0.0,Não,8.3,53269-310,654,Poupança,2022-11-13,2.2861054072553046,48846.25,0.0,9,1977.8,Depósito,Média,Não,,,,,,Agência Física,0.0,Neutro,48717.23,0.26,10003.9,66.3,1,56721.86,1.92,Conservador,Média Renda,Não,Não,Sim,Sim,,,19.89,0
Luiz Fernando Pacheco,1973-02-25,52,Masculino,Casado,Brasileira,Ensino Médio,Motorista,4322.43,1.0,Sim,4.1,70416-757,745,Corrente,2024-07-30,0.5749486652977412,3191.0,3733.38,26,594.01,Compra Crédito,Média,Sim,Pessoal,30249.83,2.77,48.0,Em Dia,Internet Banking,0.0,Satisfeito,3111.28,2.56,10290.76,28.85,4,150820.07,1.97,Conservador,Média Renda,Sim,Sim,Sim,Não,83.16,3.8,87.57,1
Isadora Abreu,1973-02-25,52,Feminino,Solteiro,Portuguesa,Superior Completo,Professor,9058.88,0.0,Sim,,39280-882,778,Poupança,2022-03-31,2.907597535934292,29881.36,0.0,7,1248.92,Saque,Baixa,Não,,,,,,Mobile Banking,0.0,Satisfeito,29372.67,1.73,29487.72,45.13,2,139485.8,2.29,Conservador,Alta Renda,Sim,Não,Não,Não,77.28,0.9,100.0,1
Dra. Melina Albuquerque,1973-02-25,52,Masculino,Casado,Argentina,Ensino Médio,Comerciante,7611.26,0.0,Sim,6.3,77030-188,800,Corrente,2021-03-03,3.983572895277208,82776.17,6698.92,41,600.19,Pagamento de Boleto,Baixa,Sim,Veículo,78290.44,1.08,36.0,Em Dia,Telefone,0.0,Satisfeito,81475.38,1.6,8503.64,77.52,1,85779.86,2.7,Moderado,Alta Renda,Sim,Não,Não,Não,86.89,0.4,100.0,1
Stella Pacheco,1973-02-25,52,Masculino,Casado,Brasileira,Ensino Médio,Gerente,4668.96,,Sim,19.3,74653-360,717,Salário,2014-04-13,10.872005475701574,35702.83,0.0,15,,Depósito,Média,Não,,,,,,Agência Física,0.0,,33159.84,7.67,13990.67,68.06,7,107655.74,1.92,Moderado,Média Renda,Sim,Não,Sim,Não,69.52,2.8,100.0,1
Ian da Rosa,1973-02-25,52,Feminino,Casado,Brasileira,Ensino Fundamental,Recepcionista,,3.0,Não,,28112-881,695,Poupança,2011-01-04,14.143737166324437,19711.92,0.0,3,749.12,Saque,Baixa,Não,,,,,,Agência Física,0.0,Insatisfeito,19238.69,2.46,6778.95,48.58,1,23649.44,2.46,Moderado,Varejo,Sim,Não,Não,Não,88.7,2.3,100.0,1
Sra. Sophia Vargas,1973-02-25,52,Feminino,Casado,Brasileira,Ensino Fundamental,Recepcionista,2742.57,2.0,Sim,3.8,89810-826,712,Corrente,2019-04-22,5.848049281314168,15500.46,3296.33,9,116.56,Compra Crédito,Baixa,Sim,Pessoal,19249.24,3.54,24.0,Em Dia,Mobile Banking,0.0,Neutro,14790.84,4.8,4252.44,31.47,2,21549.6,2.12,Conservador,Varejo,Sim,Sim,Não,Não,86.57,1.3,100.0,1
Calebe Melo,1973-02-25,52,Masculino,Casado,Brasileira,Ensino Fundamental,Analista,,1.0,Não,13.2,57991-552,526,Salário,2003-02-17,22.023271731690624,1784.05,0.0,19,,Depósito,Média,Sim,Veículo,41946.56,1.42,72.0,Inadimplente,Agência Física,0.0,,1752.74,1.79,4903.95,79.59,9,320040.15,3.22,Conservador,Média Renda,Sim,Não,Não,Não,92.91,3.1,100.0,1
Luiz Gustavo Câmara,1973-02-25,52,Feminino,Solteiro,Brasileira,Superior Completo,Técnico,9830.9,0.0,Sim,2.5,37844-228,878,Salário,2019-05-11,5.796030116358659,42765.64,0.0,23,623.43,Pagamento de Boleto,Média,Sim,Veículo,52013.12,1.81,72.0,Em Dia,Mobile Banking,0.0,Satisfeito,45315.2,-5.63,38837.69,3.69,1,27430.37,1.29,Moderado,Alta Renda,Sim,Não,Não,Sim,88.27,2.5,33.86,0
Marcelo Viana,1973-02-25,52,Masculino,Casado,,Ensino Médio,Advogado,3562.21,3.0,Não,2.0,15898-297,706,Corrente,2011-10-25,13.338809034907598,21179.8,3652.8,22,649.43,Compra Crédito,Alta,Sim,Pessoal,12105.27,3.77,12.0,Em Dia,Agência Física,0.0,Neutro,18072.46,17.19,6955.94,21.58,3,146112.08,2.64,Moderado,Média Renda,Sim,Não,Não,Não,65.68,3.7,91.67,1
Maria Flor da Luz,1973-02-25,52,Masculino,Casado,Brasileira,Superior Incompleto,Advogado,7156.41,2.0,Não,2.9,46892-893,802,Corrente,2006-04-03,18.899383983572896,16340.81,9396.95,36,1160.6,Pagamento de Boleto,Média,Sim,Veículo,102140.27,1.67,36.0,Em Dia,Agência Física,0.0,Neutro,16414.35,-0.45,12385.14,16.1,4,136951.49,1.01,Moderado,Média Renda,Não,Sim,Sim,Não,,,50.3,0
Ana Cecília Campos,1973-02-25,52,Feminino,Casado,Brasileira,Superior Completo,Enfermeiro,8367.91,0.0,Sim,8.0,90802-805,815,Corrente,2012-07-01,12.654346338124572,6149.0,11046.69,36,520.17,Compra Crédito,Média,Não,,,,,,Internet Banking,0.0,Satisfeito,6882.7,-10.66,30629.21,42.89,6,255382.74,0.96,Arrojado,Alta Renda,Sim,Não,Sim,Sim,98.04,0.1,100.0,1
Alexandre Moreira,1973-02-25,52,Feminino,Solteiro,Brasileira,Superior Completo,Aposentado,3934.26,0.0,Não,2.0,76639-815,709,Corrente,2005-06-27,19.66598220396988,17130.44,4557.31,29,546.43,Transferência,Alta,Não,,,,,,Agência Física,0.0,Neutro,21048.44,-18.61,7417.63,12.6,2,29622.49,2.01,Conservador,Varejo,Sim,Sim,Não,Sim,83.73,7.8,32.9,1
Ana Vitória Porto,1973-02-25,52,Masculino,Solteiro,Brasileira,Pós-Graduação,Recepcionista,7920.49,0.0,Sim,14.3,29961-486,686,Corrente,1996-04-28,28.829568788501028,50154.7,11702.37,54,632.38,Saque,Média,Sim,Veículo,102509.17,1.25,60.0,Em Atraso,Agência Física,0.0,Insatisfeito,56420.16,-11.11,21414.06,6.85,8,774681.13,2.55,Moderado,Alta Renda,Sim,Não,Sim,Não,81.74,1.2,64.38,1
Vitor Novais,1973-02-25,52,Masculino,Casado,Brasileira,Superior Incompleto,Empresário,,0.0,Sim,7.4,10135-376,865,Premium,1991-10-03,33.399041752224505,603727.15,48505.64,39,7072.7,Compra Crédito,Alta,Não,,,,,,Internet Banking,2.0,Insatisfeito,541453.61,11.5,137160.65,34.29,8,2158911.99,1.22,Moderado,Private,Sim,Sim,Não,Não,86.09,0.4,100.0,0
Sra. Ana Clara Barros,1973-02-25,52,Masculino,Casado,Brasileira,Superior Completo,Enfermeiro,9383.89,2.0,Sim,2.6,41426-837,804,Premium,1996-05-20,28.76933607118412,93078.72,28799.78,35,1659.53,Saque,Alta,Não,,,,,,Internet Banking,1.0,Insatisfeito,94416.17,-1.42,44732.09,13.23,7,824937.76,0.81,Moderado,Private,Sim,Sim,Não,Sim,77.58,0.4,57.41,0
Valentina das Neves,1973-02-25,52,Masculino,Casado,Brasileira,,Estudante,21541.01,3.0,Sim,25.6,15714-139,894,Corrente,2009-07-16,15.613963039014374,33540.95,21991.8,38,7433.91,Compra Débito,Média,Sim,Consignado,110584.23,2.35,60.0,Em Dia,Telefone,0.0,Neutro,32262.54,3.96,65378.9,9.8,3,666140.53,1.12,Moderado,Private,Sim,Sim,Não,Sim,64.39,0.1,40.44,0
Rhavi Pimenta,1973-02-25,52,Masculino,Casado,Brasileira,Superior Completo,Empresário,3321.16,2.0,Não,11.6,17629-283,663,Salário,2013-10-13,11.370294318959616,3156.35,0.0,11,302.17,Pagamento de Boleto,Alta,Não,,,,,,Agência Física,0.0,Neutro,2915.74,8.25,4731.93,14.52,5,148855.35,2.7,Conservador,Varejo,Sim,Não,Não,Não,64.08,0.1,36.81,0
Maria Júlia Andrade,1973-02-25,52,Feminino,Divorciado,Brasileira,Ensino Médio,Estudante,6167.52,1.0,Não,23.9,45367-987,754,Corrente,2007-06-07,17.72210814510609,-2286.44,7925.85,41,488.58,Pagamento de Boleto,Média,Não,,,,,,Agência Física,0.0,Neutro,-2477.71,-7.72,13994.51,37.56,7,128418.57,2.18,Conservador,Média Renda,Sim,Sim,Não,Sim,64.48,0.1,79.85,0
Davi Luiz Sampaio,1973-02-25,52,Masculino,Solteiro,Brasileira,Superior Incompleto,Motorista,4746.91,0.0,Não,3.3,42593-899,738,Poupança,2023-03-09,1.9685147159479808,42297.75,0.0,4,2192.79,Saque,Média,Sim,Pessoal,39769.32,2.98,12.0,Em Dia,,0.0,Satisfeito,40842.5,3.56,11150.5,19.84,3,231566.69,1.68,Moderado,Média Renda,Sim,Não,Não,Não,93.12,1.6,100.0,1
Ana Lívia da Paz,1973-02-25,52,Masculino,Casado,Portuguesa,Ensino Médio,Motorista,5366.45,0.0,Não,0.7,57610-907,849,Corrente,2002-12-15,22.19849418206708,7572.72,4512.93,44,849.07,Transferência,Média,Sim,Veículo,66412.77,1.24,48.0,Em Dia,Internet Banking,0.0,Neutro,6221.18,21.72,17447.46,23.2,6,100021.47,1.01,Conservador,Média Renda,Sim,Não,Sim,Sim,98.15,1.1,100.0,1
Sarah da Costa,1973-02-25,52,Masculino,Solteiro,Brasileira,Superior Incompleto,Analista,4847.19,,Sim,16.5,35327-955,701,Corrente,1998-08-13,26.537987679671456,13755.56,4566.13,31,383.37,Depósito,Média,Não,,,,,,Internet Banking,0.0,Neutro,11317.18,21.55,14324.93,61.52,5,165608.41,2.49,Moderado,Média Renda,Sim,Não,Não,Sim,87.4,6.2,100.0,1
Catarina Guerra,1973-02-25,52,Feminino,Casado,Brasileira,Superior Completo,Motorista,12118.83,0.0,Sim,7.1,64382-952,803,Poupança,2014-07-18,10.609171800136892,104124.24,0.0,12,6745.28,Depósito,Alta,Não,,,,,,Agência Física,0.0,Neutro,105341.77,-1.16,18494.95,28.08,3,470988.3,1.31,Moderado,Alta Renda,Sim,Não,Sim,Não,97.55,0.1,74.07,0
Matheus Machado,1973-02-25,52,Feminino,Casado,Brasileira,,Vendedor,4107.3,2.0,Não,1.9,53046-534,760,Corrente,2005-02-23,20.005475701574262,10658.69,6361.81,19,,Compra Débito,Baixa,Sim,Veículo,40618.54,1.41,36.0,Em Dia,Internet Banking,0.0,Satisfeito,10446.83,2.03,13308.28,32.05,5,229704.06,2.31,Moderado,Média Renda,Sim,Não,Não,Não,75.96,0.1,100.0,1
Luiza Rios,1973-02-25,52,Feminino,Casado,Brasileira,Ensino Médio,Contador,4474.27,0.0,Não,5.3,20262-693,724,Salário,2001-08-01,23.57015742642026,26705.68,0.0,18,539.96,Saque,Média,Não,,,,,,,0.0,Satisfeito,25672.45,4.02,13182.87,62.14,6,247500.53,1.97,Moderado,Média Renda,Sim,Não,Não,Não,74.0,0.6,100.0,1
Francisco Oliveira,1973-02-25,52,Masculino,Casado,Brasileira,Ensino Médio,Enfermeiro,5508.14,2.0,Sim,10.0,56333-568,897,Corrente,1994-11-06,30.305270362765228,14767.52,8352.58,24,,Transferência,Baixa,Sim,Imobiliário,2391022.21,0.89,360.0,Em Dia,Agência Física,0.0,Neutro,14020.22,5.33,13021.48,12.98,7,225355.37,1.13,Moderado,Média Renda,Sim,Sim,Não,Não,93.95,0.6,100.0,0
Sra. Maria Flor da Paz,1973-02-25,52,Feminino,Casado,Brasileira,Ensino Médio,Gerente,3994.59,0.0,Sim,,21118-560,745,Digital,2020-07-11,4.626967830253252,17802.68,0.0,31,275.93,Pagamento de Boleto,Baixa,Não,,,,,,Telefone,0.0,Neutro,17026.53,4.56,10439.89,72.34,1,35461.26,2.58,Conservador,Varejo,Sim,Sim,Não,Não,78.34,0.5,100.0,1
Bruna Pires,1973-02-25,52,Masculino,Divorciado,Brasileira,Superior Completo,Analista,10600.78,0.0,Sim,26.6,70798-314,885,Corrente,1995-07-18,29.60985626283368,21823.45,12330.83,31,794.19,Transferência,Baixa,Sim,Veículo,152765.83,1.82,72.0,Em Dia,Agência Física,0.0,Satisfeito,22667.24,-3.72,35594.06,16.06,9,910197.83,1.48,Conservador,Alta Renda,Sim,Não,Não,Não,82.59,0.1,87.08,0
Bryan Sá,1973-02-25,52,Feminino,Casado,,Ensino Médio,Médico,3849.77,2.0,Sim,16.1,51889-636,747,Digital,2016-02-20,9.015742642026009,8102.96,0.0,20,681.37,Transferência,Baixa,Não,,,,,,Internet Banking,0.0,Neutro,8444.18,-4.04,9615.84,50.57,2,37643.07,1.56,Arrojado,Varejo,Sim,Não,Não,Não,62.99,0.8,89.18,1
Nina Leão,1973-02-25,52,Masculino,Casado,Brasileira,Ensino Fundamental,Professor,3794.33,2.0,Não,5.2,61870-948,715,Corrente,2019-10-10,5.379876796714579,3682.19,3230.14,26,240.95,Transferência,Baixa,Não,,,,,,Internet Banking,0.0,Neutro,3311.95,11.18,7351.64,41.09,4,182323.94,2.43,Conservador,Varejo,Sim,Não,Sim,Não,63.08,3.0,65.94,1
Pedro Miguel da Cunha,1973-02-25,52,Feminino,Solteiro,Brasileira,Superior Incompleto,Analista,3741.28,0.0,Sim,18.7,23613-246,663,Corrente,1994-07-25,30.590006844626966,13686.97,5519.3,27,466.51,Saque,Alta,Não,,,,,,Mobile Banking,1.0,Insatisfeito,12907.07,6.04,4012.61,41.09,12,255271.17,2.18,Moderado,Varejo,Sim,Não,Não,Não,79.51,1.0,46.91,0
Isabelly Macedo,1973-02-25,52,Masculino,Solteiro,Brasileira,Ensino Médio,Estudante,6070.03,0.0,Não,6.6,21232-535,798,Corrente,2012-03-24,12.92539356605065,5193.19,5961.51,26,1581.79,Compra Débito,Média,Não,,,,,,Agência Física,0.0,Satisfeito,3986.34,30.27,13356.82,53.79,7,374954.4,1.67,Moderado,Média Renda,Sim,Sim,Não,Não,85.77,1.4,100.0,1
Nathan Garcia,1973-02-25,52,Masculino,Divorciado,Brasileira,Ensino Médio,Contador,4306.03,2.0,Não,,37864-572,645,Salário,2021-08-14,3.5345653661875427,17598.13,0.0,21,274.53,Saque,Alta,Não,,,,,,Internet Banking,0.0,Neutro,20092.57,-12.41,10219.39,45.38,1,35242.05,3.07,Conservador,Média Renda,Sim,Não,Sim,Não,85.76,0.3,100.0,1
Cecília Silva,1973-02-25,52,Masculino,Casado,Brasileira,Superior Incompleto,Analista,7051.14,1.0,Não,3.9,12516-253,828,Corrente,1993-03-31,31.906913073237508,31173.45,9102.42,43,437.49,Pagamento de Boleto,Média,Sim,Imobiliário,2532115.74,1.1,180.0,Em Dia,Internet Banking,0.0,Neutro,28868.77,7.98,26772.35,36.79,9,174957.62,1.45,Conservador,Média Renda,Sim,Sim,Não,Sim,98.73,0.1,100.0,0
Murilo da Mata,1973-02-25,52,Masculino,Casado,,Ensino Médio,Recepcionista,5727.26,2.0,Sim,,77939-745,787,Poupança,1999-02-01,26.067077344284737,85675.97,0.0,1,2300.56,Depósito,,Sim,Pessoal,31466.66,2.52,48.0,Em Dia,Agência Física,0.0,Satisfeito,81497.79,5.13,17068.85,81.47,11,399719.31,2.06,Arrojado,Alta Renda,Sim,Sim,Não,Sim,61.97,0.3,100.0,1
Sr. Arthur Fogaça,1973-02-25,52,Feminino,Solteiro,Alemã,Pós-Graduação,Autônomo,,0.0,Sim,5.9,27274-306,750,Corrente,2022-06-07,2.7214236824093088,10797.9,6661.78,33,646.59,Compra Débito,Média,Sim,Veículo,53445.46,1.83,48.0,Em Dia,Internet Banking,2.0,Muito Insatisfeito,10400.21,3.82,11501.04,23.73,5,403036.74,1.7,Arrojado,Média Renda,Sim,Sim,Não,Sim,95.46,5.3,80.53,1
Dra. Ana Liz Ferreira,1973-02-25,52,Masculino,Casado,Brasileira,Superior Completo,Técnico,,0.0,Sim,4.9,62789-626,818,Corrente,2019-02-10,6.042436687200548,48638.96,17735.41,41,2370.74,Compra Débito,Média,Não,,,,,,Agência Física,1.0,Neutro,46636.57,4.29,44579.17,18.18,1,156491.86,1.19,Moderado,Alta Renda,Sim,Sim,Sim,Não,62.51,1.0,43.9,0
Ian das Neves,1973-02-25,52,Feminino,Solteiro,Brasileira,Superior Completo,Advogado,3510.07,1.0,Sim,7.2,44385-965,777,Corrente,2008-03-05,16.97741273100616,2475.49,4831.42,23,,Transferência,Média,Não,,,,,,Internet Banking,0.0,Satisfeito,2655.05,-6.76,5819.78,24.45,5,65312.35,2.33,Conservador,Varejo,Sim,Não,Não,Não,84.0,0.7,64.58,0
Melina Guerra,1973-02-25,52,Feminino,Solteiro,Brasileira,Superior Completo,Advogado,6472.84,0.0,Sim,0.7,47830-405,871,Corrente,2008-08-17,16.525667351129364,45123.56,6134.97,34,540.33,Depósito,Média,Sim,Pessoal,52335.33,3.62,36.0,Em Dia,Agência Física,0.0,Satisfeito,46635.63,-3.24,16194.83,21.71,8,717593.98,0.88,Moderado,Média Renda,Sim,Não,Sim,Não,88.1,0.2,74.91,0
Gustavo Henrique Gonçalves,1973-02-25,52,Masculino,Casado,Brasileira,Superior Incompleto,Comerciante,3166.22,1.0,Não,,67736-533,775,Corrente,2010-03-25,14.924024640657084,12445.41,2730.73,26,,Compra Crédito,Média,Sim,Consignado,18411.65,2.42,24.0,Em Dia,,0.0,Satisfeito,15006.97,-17.07,9782.2,44.7,3,316829.31,1.69,Arrojado,Varejo,Sim,Sim,Não,Não,85.39,0.3,100.0,1
Ana Carolina Cardoso,1973-02-25,52,Feminino,Casado,Argentina,Ensino Fundamental,Aposentado,3117.35,2.0,Sim,11.3,44871-187,763,Salário,2012-01-07,13.13620807665982,30046.73,0.0,20,129.56,Compra Débito,Alta,Sim,Pessoal,23429.78,3.15,24.0,Em Dia,Mobile Banking,0.0,Neutro,29492.71,1.88,4916.98,63.22,5,75561.19,1.81,Moderado,Média Renda,Sim,Não,Sim,Não,90.84,0.1,100.0,1
Luana Lima,1973-02-25,52,Feminino,Solteiro,Brasileira,,Motorista,3513.42,0.0,Não,11.7,51043-427,617,Salário,1996-10-25,28.33675564681725,8018.48,0.0,14,1092.47,Pagamento de Boleto,Alta,Sim,Veículo,23631.29,1.25,48.0,Em Atraso,Agência Física,0.0,Insatisfeito,8023.84,-0.07,5872.97,35.37,5,231239.12,3.52,Conservador,Varejo,Sim,Não,Não,Não,77.19,2.7,85.06,1
Henry Cavalcante,1973-02-25,52,Masculino,Casado,Brasileira,,Gerente,2586.25,1.0,Sim,15.1,18720-618,758,Poupança,2011-06-10,13.713894592744696,17064.17,0.0,5,366.05,Depósito,Baixa,Sim,Veículo,35877.23,1.02,72.0,Em Dia,Mobile Banking,0.0,Neutro,16652.6,2.47,7883.37,21.24,3,66704.56,2.25,Conservador,Varejo,Não,Não,Não,Não,,,41.82,0
Ana Julia Pereira,1973-02-25,52,Feminino,Casado,Brasileira,,Contador,5735.06,0.0,Sim,10.3,44436-539,837,Corrente,1996-09-18,28.438056125941134,185322.81,8852.71,27,422.85,Compra Crédito,Média,Sim,Pessoal,35625.14,2.1,12.0,Em Dia,Internet Banking,0.0,Satisfeito,201853.7,-8.19,22097.44,18.03,5,274955.79,1.49,Arrojado,Alta Renda,Sim,Sim,Não,Sim,78.65,0.1,100.0,0
Thiago Siqueira,1973-02-25,52,Feminino,Solteiro,Brasileira,Ensino Médio,Gerente,6469.33,0.0,Não,1.5,49310-930,784,Corrente,2015-09-02,9.4839151266256,14111.12,6011.63,25,671.61,Pagamento de Boleto,Média,Sim,Veículo,38556.98,1.08,60.0,Em Dia,Internet Banking,0.0,Satisfeito,13897.78,1.54,13345.78,53.34,1,91961.71,2.54,Moderado,Média Renda,Sim,Não,Não,Não,97.31,0.0,100.0,1
João Guilherme da Cunha,1973-02-25,52,Masculino,Casado,Brasileira,Pós-Graduação,Estudante,2869.47,2.0,Não,,45516-298,710,Poupança,2005-03-20,19.93702943189596,15138.53,0.0,3,1460.41,Depósito,Média,Não,,,,,,Agência Física,0.0,Neutro,14587.87,3.77,6547.17,80.86,3,64015.81,1.93,Conservador,Varejo,Não,Não,Não,Sim,,,21.59,0
Dra. Allana Pacheco,1973-02-25,52,Masculino,Divorciado,Brasileira,Superior Incompleto,Aposentado,4815.81,0.0,Sim,,36605-344,675,Poupança,2021-04-19,3.854893908281999,91017.26,0.0,5,823.34,Depósito,Média,Não,,,,,,Mobile Banking,1.0,Insatisfeito,85101.64,6.95,5701.47,50.49,0,0.0,,Arrojado,Alta Renda,Sim,Sim,Não,Sim,63.18,0.5,53.36,0
Sophia Vieira,1973-02-25,52,Masculino,Casado,Brasileira,Ensino Médio,Engenheiro,4444.9,0.0,Sim,6.3,16960-797,728,Poupança,2003-12-13,21.204654346338124,84623.5,0.0,6,1869.12,Saque,Média,Não,,,,,,Agência Física,1.0,,81068.27,4.39,9924.28,67.06,0,0.0,,Moderado,Alta Renda,Sim,Não,Sim,Não,69.49,4.0,100.0,1
Breno Oliveira,1973-02-25,52,Feminino,Casado,Brasileira,Ensino Fundamental,Motorista,3494.57,1.0,Não,2.3,10198-999,708,Poupança,2012-05-20,12.76933607118412,34067.42,0.0,6,,Saque,Média,Não,,,,,,Mobile Banking,0.0,Satisfeito,32366.75,5.25,6139.3,44.61,4,93548.12,2.45,Arrojado,Média Renda,Sim,Sim,Não,Não,93.7,0.9,90.3,1
Aurora Santos,1973-02-25,52,Feminino,Casado,Brasileira,Ensino Fundamental,Contador,4593.98,2.0,Não,1.3,95855-435,714,Salário,2013-10-26,11.3347022587269,15984.24,0.0,13,746.48,Depósito,Alta,Não,,,,,,Agência Física,0.0,Neutro,14721.92,8.57,11702.19,38.68,8,214966.79,2.48,Conservador,Média Renda,Sim,Não,Não,Sim,70.97,3.4,100.0,1
Caroline Vasconcelos,1973-02-25,52,Feminino,Viúvo,Brasileira,Ensino Médio,Autônomo,6757.94,0.0,Não,2.5,59973-437,755,Poupança,2004-03-26,20.919917864476385,129157.26,0.0,3,732.65,Depósito,Média,Não,,,,,,Agência Física,0.0,Muito Insatisfeito,124052.26,4.12,11738.54,70.01,6,174429.49,2.73,Arrojado,Alta Renda,Sim,Sim,Não,Sim,77.03,0.0,100.0,1
Maria Sousa,1973-02-25,52,Feminino,Divorciado,Brasileira,Pós-Graduação,Enfermeiro,12123.31,2.0,Não,5.0,44846-933,789,Poupança,1993-01-24,32.087611225188226,390867.38,0.0,6,,Saque,Média,Não,,,,,,Agência Física,0.0,Neutro,387803.83,0.79,34047.46,23.81,7,854260.59,2.49,Conservador,Alta Renda,Sim,Não,Sim,Não,54.57,0.1,55.57,0
Ana Beatriz Rocha,1973-02-25,52,Masculino,Casado,Brasileira,,Motorista,5710.72,1.0,Não,0.8,25640-880,733,Corrente,2000-01-07,25.136208076659823,77909.43,5982.1,26,266.72,Compra Débito,Média,Não,,,,,,Internet Banking,0.0,Neutro,86642.22,-10.08,9433.09,35.76,8,136602.95,2.68,Moderado,Alta Renda,Sim,Sim,Não,Sim,50.82,1.3,49.88,0
Rhavi Rios,1973-02-25,52,Masculino,Casado,Brasileira,Superior Completo,Aposentado,4785.83,1.0,Sim,2.8,15186-396,710,Corrente,2022-11-18,2.272416153319644,7097.71,4732.01,36,693.54,Compra Crédito,Média,Não,,,,,,Internet Banking,0.0,Neutro,7234.49,-1.89,5486.89,11.68,2,61497.55,1.62,Moderado,Média Renda,Sim,Não,Não,Não,80.05,9.7,26.2,1
Maria Luiza Moreira,1973-02-25,52,Feminino,Casado,Brasileira,Superior Incompleto,Gerente,7396.22,2.0,Sim,,64147-493,834,Poupança,2009-03-03,15.983572895277208,72625.71,0.0,4,,Depósito,Alta,Sim,Veículo,90618.99,1.3,36.0,Em Dia,Internet Banking,0.0,Neutro,69595.79,4.35,14278.54,24.71,6,257570.3,1.23,Moderado,Alta Renda,Sim,Sim,Sim,Não,88.9,0.0,89.36,0
Davi Luiz Rodrigues,1973-02-25,52,Masculino,Casado,Brasileira,Ensino Médio,Analista,5400.44,2.0,Não,4.1,75402-963,619,Corrente,2018-04-15,6.86652977412731,5803.34,5958.62,27,,Pagamento de Boleto,,Sim,Consignado,59517.76,1.34,60.0,Em Atraso,Internet Banking,0.0,Insatisfeito,5772.4,0.54,10702.58,86.78,7,336402.85,4.04,Moderado,Média Renda,Sim,Não,Sim,Sim,62.1,4.5,100.0,1
Antônio Moura,1973-02-25,52,Feminino,Casado,Brasileira,Superior Completo,Recepcionista,18179.56,1.0,Sim,13.6,75841-340,710,Poupança,1996-11-07,28.301163586584533,103517.42,0.0,10,5396.96,Depósito,Média,Sim,Consignado,182407.29,1.79,60.0,Inadimplente,Agência Física,0.0,,98109.76,5.51,55333.32,24.22,6,1599248.71,2.45,Arrojado,Private,Sim,Não,Sim,Sim,56.11,0.4,75.37,1
Dra. Marcela Moura,1973-02-25,52,Feminino,Solteiro,Brasileira,Superior Completo,Analista,7682.05,2.0,Não,5.8,45759-586,769,Salário,2015-07-02,9.653661875427789,36467.41,0.0,19,346.5,Pagamento de Boleto,Média,Não,,,,,,Agência Física,0.0,Satisfeito,36954.04,-1.32,23176.14,32.61,2,225594.17,2.15,Moderado,Média Renda,Sim,Sim,Não,Não,57.2,0.1,78.4,0
Sr. Eduardo Araújo,1973-02-25,52,Masculino,Casado,Brasileira,Ensino Médio,Professor,4940.98,1.0,Não,3.9,80077-138,681,Digital,1994-04-06,30.8911704312115,30512.39,0.0,20,311.07,Saque,Alta,Não,,,,,,,0.0,Satisfeito,32321.69,-5.6,4517.41,52.54,11,628906.42,2.01,Arrojado,Média Renda,Sim,Não,Não,Sim,53.44,1.5,43.61,0
Vicente Marques,1973-02-25,52,Masculino,Casado,Brasileira,Ensino Médio,Comerciante,5116.79,0.0,Sim,24.6,16860-848,750,Corrente,2020-08-03,4.563997262149213,10422.69,5711.56,35,,Compra Débito,Média,Não,,,,,,Mobile Banking,0.0,Neutro,8838.2,17.93,9174.64,49.04,3,84692.39,2.7,Arrojado,Média Renda,Sim,Não,Sim,Sim,80.73,1.0,80.53,1
